id,username,password,role,name,created_at
1,teacher_01,$2b$12$MZCXy0oVhflUNoxtc/6mHe/QjUCrWAhUKh1.Ixxk5CfW4fLC8i5ry,ROLE_TEACHER,Dr. Rajesh Kumar,2025-09-08 21:53:12
2,teacher_02,$2b$12$xbhzsql3T6.1armdP1h69ejtOhHUHpAkaTWFPmMdKQvQsQfzl9U.e,ROLE_TEACHER,Dr. Prakash Raj,2025-09-08 21:53:12
3,teacher_03,$2b$12$tvB8j7KKeL2XX4IgOotjGO4oXxHuL03J.zSiOamrvH9zIWgRlPeFu,ROLE_TEACHER,Dr. Ravi Kumar,2025-09-08 21:53:12
4,teacher_04,$2b$12$eHkOZvpuBfUJDf.kzwOrMOzTUZeRjRcRw0SFTDc27gCplLWKaa7hG,ROLE_TEACHER,Dr. Ravi Shankar,2025-09-08 21:53:13
5,teacher_05,$2b$12$j9285WtOdIXP4KMx3t.1beJBpwMOTGlPFxI.VhhjJrGHaKvYX7ppi,ROLE_TEACHER,Prof. Anitha Pillai,2025-09-08 21:53:13
6,teacher_06,$2b$12$KrFBTRcuHACX3TeKUjKZwuhuSgPjPH5jRjf4wUzpyw3I0.bW9GIOm,ROLE_TEACHER,Prof. Lakshmi Iyer,2025-09-08 21:53:13
7,teacher_07,$2b$12$T1.Lw3pojvygtIf9zfPX.O0FmOXfLNc4z0pudTbJYYjUqTspDaSNi,ROLE_TEACHER,Prof. Leela Suresh,2025-09-08 21:53:14
8,teacher_08,$2b$12$5NQfQ6IzWEf.ivqrYhEpguc2yWHoQDDFj1TKYGioF.UaExSSCME3G,ROLE_TEACHER,Dr. Mohan Das,2025-09-08 21:53:14
9,teacher_09,$2b$12$BBYKKohPKc7/QGvZLSdO8.dauvr1GoaDY5D537n8mCU5xgwD8ByuK,ROLE_TEACHER,Prof. Indira Das,2025-09-08 21:53:14
10,teacher_10,$2b$12$AHYnkZI2mmI5mioEOcyg..EINZBbxLZL5sPlTw9Vrfef1J0niDgFe,ROLE_TEACHER,Dr. Senthil Kumar,2025-09-08 21:53:15
