id,name,email,department,username,password,role,created_at
61,Dr. Rajesh Kumar,teacher_01@ktu.ac.in,Industrial Engineering,teacher_01,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:37
62,Dr. Prakash Raj,teacher_02@ktu.ac.in,Biotechnology,teacher_02,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:37
63,Dr. Ravi Kumar,teacher_03@ktu.ac.in,Electrical and Electronics Engineering,teacher_03,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:38
64,Dr. Ravi Shankar,teacher_04@ktu.ac.in,Civil Engineering,teacher_04,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:38
65,Prof. Anitha Pillai,teacher_05@ktu.ac.in,Chemical Engineering,teacher_05,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:39
66,Prof. Lakshmi Iyer,teacher_06@ktu.ac.in,Information Technology,teacher_06,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:39
67,Prof. Leela Suresh,teacher_07@ktu.ac.in,Aerospace Engineering,teacher_07,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:39
68,Dr. Mohan Das,teacher_08@ktu.ac.in,Mechanical Engineering,teacher_08,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:40
69,Prof. Indira Das,teacher_09@ktu.ac.in,Electronics and Communication Engineering,teacher_09,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:40
70,Dr. Senthil Kumar,teacher_10@ktu.ac.in,Industrial Engineering,teacher_10,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:41
71,Prof. Lakshmi Iyer,teacher_11@ktu.ac.in,Information Technology,teacher_11,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:41
72,Dr. Ramesh Pillai,teacher_12@ktu.ac.in,Computer Science and Engineering,teacher_12,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:42
73,Prof. Geetha Pillai,teacher_13@ktu.ac.in,Industrial Engineering,teacher_13,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:42
74,Dr. Prakash Raj,teacher_14@ktu.ac.in,Aerospace Engineering,teacher_14,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:42
75,Prof. Priya Menon,teacher_15@ktu.ac.in,Mechanical Engineering,teacher_15,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:43
